Time,PID,Tickets,Pass,Stride,Runtime
29243,4,8,155073,128,2948
29243,6,2,155178,512,289
29243,7,4,155178,256,577
29243,8,8,155050,128,1152
29243,9,16,154986,64,2302
29243,10,32,154954,32,4602
29243,11,32,154975,32,4602
29243,12,32,154975,32,4602
29243,13,32,154975,32,4602
29243,14,32,154975,32,4602
29243,15,32,154969,32,626
29243,16,32,154969,32,626
29243,17,8,155065,128,158
29243,18,2,155449,512,41
29243,19,8,155065,128,158
29243,20,8,155065,128,158
29867,1,8,2944,128,23
29867,2,8,5632,128,20
29867,5,1,158250,1024,148
29867,4,8,157368,128,3083
29867,6,2,157738,512,294
29867,7,4,157482,256,586
29867,8,8,157354,128,1170
29867,9,16,157290,64,2338
29867,10,32,157258,32,4674
29867,11,32,157247,32,4673
29867,12,32,157247,32,4673
29867,13,32,157247,32,4673
29867,14,32,157247,32,4673
29867,15,32,157241,32,697
29867,16,32,157241,32,697
29867,17,8,157241,128,175
29867,18,2,157497,512,45
29867,19,8,157241,128,175
29867,20,8,157241,128,175
30490,1,8,2944,128,23
30490,2,8,5632,128,20
30490,5,1,160298,1024,150
30490,4,8,159642,128,3215
30490,6,2,159786,512,298
30490,7,4,159530,256,594
30490,8,8,159530,128,1187
30490,9,16,159530,64,2373
30490,10,32,159530,32,4745
30490,11,32,159519,32,4744
30490,12,32,159519,32,4744
30490,13,32,159519,32,4744
30490,14,32,159519,32,4744
30490,15,32,159545,32,769
30490,16,32,159545,32,769
30490,17,8,159545,128,193
30490,18,2,159545,512,49
30490,19,8,159545,128,193
30490,20,8,159545,128,193
31105,1,8,2944,128,23
31105,2,8,5632,128,20
31105,5,1,162346,1024,152
31105,4,8,161877,128,3346
31105,6,2,161834,512,302
31105,7,4,161834,256,603
31105,8,8,161834,128,1205
31105,9,16,161770,64,2408
31105,10,32,161770,32,4815
31105,11,32,161759,32,4814
31105,12,32,161759,32,4814
31105,13,32,161759,32,4814
31105,14,32,161759,32,4814
31105,15,32,161753,32,838
31105,16,32,161753,32,838
31105,17,8,161849,128,211
31105,18,2,162105,512,54
31105,19,8,161849,128,211
31105,20,8,161849,128,211
31717,1,8,2944,128,23
31717,2,8,5632,128,20
31717,5,1,164394,1024,154
31717,4,8,164100,128,3477
31717,6,2,164394,512,307
31717,7,4,164138,256,612
31717,8,8,164010,128,1222
31717,9,16,164010,64,2443
31717,10,32,163978,32,4884
31717,11,32,163999,32,4884
31717,12,32,163999,32,4884
31717,13,32,163999,32,4884
31717,14,32,163999,32,4884
31717,15,32,163993,32,908
31717,16,32,163993,32,908
31717,17,8,164025,128,228
31717,18,2,164153,512,58
31717,19,8,164025,128,228
31717,20,8,164025,128,228
32334,1,8,2944,128,23
32334,2,8,5632,128,20
32334,5,1,166442,1024,156
